business_id,score,date,type,new_date,year
19,94,20160513,routine,2016-05-13,2016
19,94,20171211,routine,2017-12-11,2017
24,98,20171101,routine,2017-11-01,2017
24,98,20161005,routine,2016-10-05,2016
24,96,20160311,routine,2016-03-11,2016
31,98,20151204,routine,2015-12-04,2015
45,78,20160104,routine,2016-01-04,2016
45,88,20170307,routine,2017-03-07,2017
45,85,20170914,routine,2017-09-14,2017
45,84,20160614,routine,2016-06-14,2016
48,94,20160630,routine,2016-06-30,2016
54,100,20150526,routine,2015-05-26,2015
54,87,20170215,routine,2017-02-15,2017
56,90,20160802,routine,2016-08-02,2016
56,92,20170420,routine,2017-04-20,2017
56,88,20151222,routine,2015-12-22,2015
58,73,20160407,routine,2016-04-07,2016
58,70,20170918,routine,2017-09-18,2017
61,94,20160708,routine,2016-07-08,2016
61,94,20171128,routine,2017-11-28,2017
61,98,20170124,routine,2017-01-24,2017
61,92,20150827,routine,2015-08-27,2015
66,98,20160322,routine,2016-03-22,2016
66,100,20150828,routine,2015-08-28,2015
66,100,20160902,routine,2016-09-02,2016
66,96,20170703,routine,2017-07-03,2017
67,90,20150520,routine,2015-05-20,2015
67,87,20160401,routine,2016-04-01,2016
67,81,20170804,routine,2017-08-04,2017
67,94,20161019,routine,2016-10-19,2016
73,88,20171129,routine,2017-11-29,2017
73,92,20160927,routine,2016-09-27,2016
73,85,20150717,routine,2015-07-17,2015
76,100,20171101,routine,2017-11-01,2017
76,100,20160311,routine,2016-03-11,2016
76,98,20161005,routine,2016-10-05,2016
77,94,20171101,routine,2017-11-01,2017
77,96,20161005,routine,2016-10-05,2016
77,91,20160311,routine,2016-03-11,2016
80,98,20160412,routine,2016-04-12,2016
80,96,20171204,routine,2017-12-04,2017
81,96,20150330,routine,2015-03-30,2015
81,98,20171205,routine,2017-12-05,2017
88,92,20170111,routine,2017-01-11,2017
88,82,20171016,routine,2017-10-16,2017
88,89,20150824,routine,2015-08-24,2015
95,83,20171016,routine,2017-10-16,2017
95,88,20151210,routine,2015-12-10,2015
95,92,20170307,routine,2017-03-07,2017
95,86,20160718,routine,2016-07-18,2016
98,94,20150629,routine,2015-06-29,2015
98,96,20160316,routine,2016-03-16,2016
98,94,20171003,routine,2017-10-03,2017
99,76,20150811,routine,2015-08-11,2015
99,82,20171207,routine,2017-12-07,2017
101,98,20160525,routine,2016-05-25,2016
101,90,20170627,routine,2017-06-27,2017
102,92,20170728,routine,2017-07-28,2017
102,85,20161103,routine,2016-11-03,2016
102,100,20150609,routine,2015-06-09,2015
108,94,20150417,routine,2015-04-17,2015
116,96,20170509,routine,2017-05-09,2017
116,76,20160527,routine,2016-05-27,2016
121,86,20151020,routine,2015-10-20,2015
121,90,20170418,routine,2017-04-18,2017
125,90,20170719,routine,2017-07-19,2017
125,92,20160520,routine,2016-05-20,2016
134,98,20150806,routine,2015-08-06,2015
134,93,20170214,routine,2017-02-14,2017
140,86,20180105,routine,2018-01-05,2018
140,77,20171011,routine,2017-10-11,2017
140,85,20160414,routine,2016-04-14,2016
141,100,20170505,routine,2017-05-05,2017
141,100,20160627,routine,2016-06-27,2016
146,91,20150723,routine,2015-07-23,2015
146,84,20161017,routine,2016-10-17,2016
146,84,20160407,routine,2016-04-07,2016
151,87,20150520,routine,2015-05-20,2015
151,92,20160726,routine,2016-07-26,2016
155,100,20151229,routine,2015-12-29,2015
155,79,20170227,routine,2017-02-27,2017
155,87,20150610,routine,2015-06-10,2015
164,96,20151106,routine,2015-11-06,2015
164,87,20161110,routine,2016-11-10,2016
164,83,20170908,routine,2017-09-08,2017
180,94,20161220,routine,2016-12-20,2016
180,87,20170815,routine,2017-08-15,2017
180,88,20160106,routine,2016-01-06,2016
180,98,20160617,routine,2016-06-17,2016
