dteday,casual,registered,workingday
2011-01-01,331,654,no
2011-01-02,131,670,no
2011-01-03,120,1229,yes
2011-01-04,108,1454,yes
2011-01-05,82,1518,yes
2011-01-06,88,1518,yes
2011-01-07,148,1362,yes
2011-01-08,68,891,no
2011-01-09,54,768,no
2011-01-10,41,1280,yes
2011-01-11,43,1220,yes
2011-01-12,25,1137,yes
2011-01-13,38,1368,yes
2011-01-14,54,1367,yes
2011-01-15,222,1026,no
2011-01-16,251,953,no
2011-01-17,117,883,no
2011-01-18,9,674,yes
2011-01-19,78,1572,yes
2011-01-20,83,1844,yes
2011-01-21,75,1468,yes
2011-01-22,93,888,no
2011-01-23,150,836,no
2011-01-24,86,1330,yes
2011-01-25,186,1799,yes
2011-01-26,34,472,yes
2011-01-27,15,416,yes
2011-01-28,38,1129,yes
2011-01-29,123,975,no
2011-01-30,140,956,no
2011-01-31,42,1459,yes
2011-02-01,47,1313,yes
2011-02-02,72,1454,yes
2011-02-03,61,1489,yes
2011-02-04,88,1620,yes
2011-02-05,100,905,no
2011-02-06,354,1269,no
2011-02-07,120,1592,yes
2011-02-08,64,1466,yes
2011-02-09,53,1552,yes
2011-02-10,47,1491,yes
2011-02-11,149,1597,yes
2011-02-12,288,1184,no
2011-02-13,397,1192,no
2011-02-14,208,1705,yes
2011-02-15,140,1675,yes
2011-02-16,218,1897,yes
2011-02-17,259,2216,yes
2011-02-18,579,2348,yes
2011-02-19,532,1103,no
2011-02-20,639,1173,no
2011-02-21,195,912,no
2011-02-22,74,1376,yes
2011-02-23,139,1778,yes
2011-02-24,100,1707,yes
2011-02-25,120,1341,yes
2011-02-26,424,1545,no
2011-02-27,694,1708,no
2011-02-28,81,1365,yes
2011-03-01,137,1714,yes
2011-03-02,231,1903,yes
2011-03-03,123,1562,yes
2011-03-04,214,1730,yes
2011-03-05,640,1437,no
2011-03-06,114,491,no
2011-03-07,244,1628,yes
2011-03-08,316,1817,yes
2011-03-09,191,1700,yes
2011-03-10,46,577,yes
2011-03-11,247,1730,yes
2011-03-12,724,1408,no
2011-03-13,982,1435,no
2011-03-14,359,1687,yes
2011-03-15,289,1767,yes
2011-03-16,321,1871,yes
2011-03-17,424,2320,yes
2011-03-18,884,2355,yes
2011-03-19,1424,1693,no
2011-03-20,1047,1424,no
2011-03-21,401,1676,yes
2011-03-22,460,2243,yes
2011-03-23,203,1918,yes
2011-03-24,166,1699,yes
2011-03-25,300,1910,yes
2011-03-26,981,1515,no
2011-03-27,472,1221,no
2011-03-28,222,1806,yes
2011-03-29,317,2108,yes
2011-03-30,168,1368,yes
2011-03-31,179,1506,yes
2011-04-01,307,1920,yes
2011-04-02,898,1354,no
2011-04-03,1651,1598,no
2011-04-04,734,2381,yes
2011-04-05,167,1628,yes
2011-04-06,413,2395,yes
2011-04-07,571,2570,yes
2011-04-08,172,1299,yes
2011-04-09,879,1576,no
2011-04-10,1188,1707,no
2011-04-11,855,2493,yes
2011-04-12,257,1777,yes
2011-04-13,209,1953,yes
2011-04-14,529,2738,yes
2011-04-15,642,2484,no
2011-04-16,121,674,no
2011-04-17,1558,2186,no
2011-04-18,669,2760,yes
2011-04-19,409,2795,yes
2011-04-20,613,3331,yes
2011-04-21,745,3444,yes
2011-04-22,177,1506,yes
2011-04-23,1462,2574,no
2011-04-24,1710,2481,no
2011-04-25,773,3300,yes
2011-04-26,678,3722,yes
2011-04-27,547,3325,yes
2011-04-28,569,3489,yes
2011-04-29,878,3717,yes
2011-04-30,1965,3347,no
2011-05-01,1138,2213,no
2011-05-02,847,3554,yes
2011-05-03,603,3848,yes
2011-05-04,255,2378,yes
2011-05-05,614,3819,yes
2011-05-06,894,3714,yes
2011-05-07,1612,3102,no
2011-05-08,1401,2932,no
2011-05-09,664,3698,yes
2011-05-10,694,4109,yes
2011-05-11,550,3632,yes
2011-05-12,695,4169,yes
2011-05-13,692,3413,yes
2011-05-14,902,2507,no
2011-05-15,1582,2971,no
2011-05-16,773,3185,yes
2011-05-17,678,3445,yes
2011-05-18,536,3319,yes
2011-05-19,735,3840,yes
2011-05-20,909,4008,yes
2011-05-21,2258,3547,no
2011-05-22,1576,3084,no
2011-05-23,836,3438,yes
2011-05-24,659,3833,yes
2011-05-25,740,4238,yes
2011-05-26,758,3919,yes
2011-05-27,871,3808,yes
2011-05-28,2001,2757,no
2011-05-29,2355,2433,no
2011-05-30,1549,2549,no
2011-05-31,673,3309,yes
2011-06-01,513,3461,yes
2011-06-02,736,4232,yes
2011-06-03,898,4414,yes
2011-06-04,1869,3473,no
2011-06-05,1685,3221,no
2011-06-06,673,3875,yes
2011-06-07,763,4070,yes
2011-06-08,676,3725,yes
2011-06-09,563,3352,yes
2011-06-10,815,3771,yes
2011-06-11,1729,3237,no
2011-06-12,1467,2993,no
2011-06-13,863,4157,yes
